,gu,name,address,brand,gasoline,diesel,self,carwash,charging station,maintenance,shop,open_24,lat,lng
0,강남구,세곡주유소,서울 강남구  헌릉로 731,SK에너지,1678,1568,Y,Y,N,N,N,N,37.4671565,127.1187081
1,강남구,은마주유소,서울 강남구 영동대로 235,GS칼텍스,1679,1659,N,Y,N,Y,N,N,37.5000721,127.0672848
2,강남구,셀프,서울 강남구 남부순환로 2651,SK에너지,1684,1589,Y,Y,N,Y,N,Y,37.485839,127.0396721
3,강남구,강남셀프주유소,서울 강남구 도곡로 208,HD현대오일뱅크,1684,1604,Y,Y,N,N,N,N,37.492295,127.0418598
4,강남구,자곡셀프주유소,서울 강남구 밤고개로 120,SK에너지,1697,1589,Y,Y,N,N,N,N,37.4834002,127.1040458
5,강남구,방죽주유소,서울 강남구 밤고개로 215,GS칼텍스,1697,1589,Y,Y,N,N,N,N,37.4749926,127.1068866
6,강남구,도곡셀프주유소,서울 강남구  남부순환로 2718,HD현대오일뱅크,1698,1604,Y,Y,N,Y,N,N,37.4854623,127.0432181
7,강남구,유진주유소,서울 강남구 논현로 152,HD현대오일뱅크,1708,1614,N,Y,N,Y,N,N,37.4834182,127.042594
8,강남구,산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,1712,1593,Y,Y,N,N,N,N,37.4665675,127.1190803
9,강남구,수서지점,서울 강남구 광평로 202,SK에너지,1718,1597,Y,Y,N,N,N,N,37.4841053,127.0950401
10,강남구,(주)선진도곡주유소,서울 강남구 도곡로 162,S-OIL,1728,1604,N,Y,N,Y,N,N,37.4910831,127.0375983
11,강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,1765,1665,Y,Y,N,Y,N,Y,37.4943424,127.0350915
12,강남구,개나리주유소,서울 강남구 언주로 423,S-OIL,1775,1605,Y,Y,N,Y,N,Y,37.5009309,127.0431222
13,강남구,삼성동주유소,서울 강남구 테헤란로 619,HD현대오일뱅크,1795,1695,Y,Y,N,N,N,N,37.5098576,127.0651101
14,강남구,힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,1857,1697,Y,Y,N,N,N,Y,37.5106887,127.0325689
15,강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516,GS칼텍스,1857,1832,Y,N,N,Y,N,Y,37.50270829999999,127.0363956
16,강남구,개포주유소,서울 강남구 양재대로 339,GS칼텍스,1868,1748,Y,Y,N,N,N,N,37.4722409,127.0515134
17,강남구,압구정주유소,서울 강남구 언주로 842,SK에너지,1877,1737,Y,Y,N,N,N,Y,37.5253431,127.0338242
18,강남구,신사현대주유소,서울 강남구 도산대로 163,HD현대오일뱅크,1963,1863,N,Y,N,N,N,N,37.5195205,127.0263171
19,강남구,한양주유소,서울 강남구 압구정로 302,HD현대오일뱅크,1995,1795,N,Y,N,N,N,N,37.5288681,127.0341046
20,강남구,삼성로주유소,서울 강남구 삼성로 563,GS칼텍스,2049,1985,Y,Y,N,N,N,Y,37.51186149999999,127.0535258
21,강남구,명품주유소,서울 강남구 도곡로 249,S-OIL,2248,2107,Y,Y,N,N,N,Y,37.4942704,127.0455093
22,강남구,대청주유소,서울 강남구 개포로 654,SK에너지,2256,2096,N,Y,N,N,N,N,37.4949503,127.0842686
23,강남구,새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,2258,2048,N,Y,N,N,N,Y,37.525835,127.0265422
24,강남구,쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,2389,2189,N,Y,N,N,N,N,37.5014209,127.0591408
25,강남구,SK논현주유소,서울 강남구 논현로 747,SK에너지,2435,2270,N,Y,N,Y,N,Y,37.5186368,127.028238
26,강남구,제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,2548,2290,N,Y,N,N,N,Y,37.5176472,127.0357349
27,강남구,삼보주유소,서울 강남구 봉은사로 433,GS칼텍스,2620,2580,N,Y,N,N,N,N,37.5115207,127.0471716
28,강동구,고속셀프지점,서울특별시 강동구  천호대로 1246,HD현대오일뱅크,1645,1529,Y,Y,N,N,N,N,37.5365133,127.1493588
29,강동구,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,1696,1578,N,Y,N,N,N,N,37.5334229,127.1411725
30,강동구,동서울주유소,서울 강동구 천호대로 1456,GS칼텍스,1709,1609,Y,Y,N,N,N,N,37.5451987,127.1702324
31,강동구,고덕주유소,서울 강동구 고덕로 39,GS칼텍스,1726,1598,Y,Y,N,N,Y,N,37.555049,127.1297929
32,강동구,신월주유소,서울 강동구 양재대로 1323,GS칼텍스,1736,1598,Y,Y,N,N,N,N,37.5245597,127.134491
33,강동구,sk해뜨는주유소,서울 강동구  상일로 132,SK에너지,1789,1639,Y,Y,N,Y,N,N,37.5545085,127.1724154
34,강동구,코알라주유소,서울특별시 강동구  올림픽로 556,S-OIL,1790,1670,Y,Y,N,N,N,N,37.5312217,127.1211445
35,강동구,오렌지주유소,서울 강동구 성안로 102,SK에너지,1793,1673,N,Y,N,Y,N,N,37.532314,127.1331781
36,강동구,성내주유소,서울 강동구 올림픽로 578,GS칼텍스,1798,1678,Y,Y,N,Y,N,N,37.5332758,127.1219252
37,강동구,천호현대주유소,서울 강동구 천중로 67,HD현대오일뱅크,1893,1752,N,Y,N,Y,N,N,37.5451331,127.129473
38,강동구,광성주유소,서울 강동구 올림픽로 673,S-OIL,1968,1858,N,Y,N,Y,N,Y,37.5416117,127.1241731
39,강북구,수유동주유소,서울 강북구 도봉로 395,GS칼텍스,1589,1459,Y,N,N,N,N,Y,37.6421556,127.0295862
40,강북구,덕릉로주유소,서울 강북구 덕릉로 158,S-OIL,1589,1459,Y,Y,N,N,N,N,37.6349756,127.0313182
41,강북구,번동주유소,서울 강북구 한천로 963,HD현대오일뱅크,1589,1459,Y,Y,N,N,N,N,37.6355872,127.0330493
42,강북구,미아셀프주유소,서울 강북구 도봉로 200,S-OIL,1635,1495,Y,Y,N,N,N,N,37.6265292,127.0265002
43,강북구,미아주유소,서울 강북구 도봉로 122,GS칼텍스,1639,1494,Y,Y,N,N,N,N,37.6199964,127.0290304
44,강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,1669,1529,N,Y,N,Y,N,N,37.6464088,127.0153285
45,강북구,매일주유소,서울 강북구 삼양로 217,SK에너지,1670,1534,Y,Y,N,N,Y,N,37.6227977,127.0191356
46,강서구,강서오곡셀프주유소,서울 강서구 벌말로 254,SK에너지,1567,1467,Y,Y,N,N,N,Y,37.5539622,126.7684275
47,강서구,강서주유소,서울 강서구 화곡로 273,HD현대오일뱅크,1586,1464,Y,Y,N,Y,N,N,37.549163,126.8469964
48,강서구,KH외발산주유소,서울 강서구 방화대로 30,SK에너지,1587,1459,Y,Y,Y,Y,Y,N,37.5434208,126.816863
49,강서구,화곡역주유소,서울 강서구 강서로 154,알뜰주유소,1597,1443,Y,N,N,N,N,Y,37.5407186,126.8415303
50,강서구,뉴신정주유소,서울 강서구 곰달래로 207,알뜰주유소,1598,1498,N,N,N,Y,Y,N,37.5315796,126.8560524
51,강서구,신화곡주유소,서울 강서구 국회대로 71,SK에너지,1598,1498,Y,Y,N,N,Y,Y,37.5272579,126.8428896
52,강서구,목화주유소,서울 강서구 국회대로 251,알뜰주유소,1598,1498,Y,Y,N,N,N,N,37.5300403,126.8629825
53,강서구,공항주유소,서울 강서구 개화동로 420,HD현대오일뱅크,1605,1466,Y,Y,N,Y,Y,Y,37.574611,126.8023029
54,강서구,경인고속주유소,서울 강서구 국회대로 225,GS칼텍스,1608,1508,Y,Y,Y,N,N,Y,37.5296209,126.859797
55,강서구,등촌주유소,서울 강서구 등촌로 189,HD현대오일뱅크,1609,1479,N,Y,N,Y,N,N,37.546808,126.8625545
56,강서구,마곡드림주유소,서울 강서구 방화대로 254(마곡동),S-OIL,1615,1495,Y,Y,N,N,N,N,37.5590009,126.8167292
57,강서구,스카이주유소,서울 강서구 개화동로 457,S-OIL,1620,1485,Y,Y,N,N,Y,Y,37.5714858,126.8043806
58,강서구,강서열린주유소,서울 강서구 등촌로 213,GS칼텍스,1629,1499,N,Y,N,N,N,N,37.54871199999999,126.8630628
59,강서구,가양주유소,서울 강서구 강서로 498,SK에너지,1644,1493,N,Y,N,Y,Y,Y,37.5697823,126.8419022
60,강서구,하이웨이,서울 강서구 공항대로 432,S-OIL,1647,1565,Y,Y,N,N,N,Y,37.5546677,126.8548053
61,강서구,대성석유(주)방화대성주유소,서울 강서구 양천로 176,GS칼텍스,1649,1518,Y,Y,N,N,Y,N,37.5728815,126.8234821
62,강서구,세원제1주유소,서울 강서구 양천로 311,SK에너지,1658,1548,Y,Y,N,Y,N,N,37.5704525,126.8381572
63,강서구,양화교셀프주유소,서울 강서구 공항대로 653,HD현대오일뱅크,1664,1574,Y,Y,N,N,N,N,37.5473368,126.8774764
64,강서구,화곡현대주유소,서울 강서구 강서로 151,SK에너지,1666,1546,Y,Y,N,N,N,Y,37.5402614,126.8411983
65,강서구,우장산주유소,서울 강서구 강서로 292,SK에너지,1668,1518,Y,Y,N,N,N,N,37.5517753,126.8366337
66,강서구,관문주유소,서울 강서구 공항대로 314,GS칼텍스,1669,1518,N,Y,N,Y,N,N,37.5577232,126.8425243
67,강서구,대성주유소,서울 강서구 강서로 472,GS칼텍스,1669,1518,N,Y,N,Y,N,N,37.5675028,126.8414186
68,강서구,개화주유소,서울 강서구 양천로 57,SK에너지,1677,1537,Y,Y,N,N,N,N,37.5735014,126.8100943
69,강서구,가양주유소,서울 강서구  양천로 391,HD현대오일뱅크,1679,1569,N,Y,N,N,N,N,37.5663968,126.8456842
70,강서구,박물관주유소,서울 강서구 양천로53길 97,GS칼텍스,1698,1558,N,Y,N,Y,Y,N,37.567505,126.850341
71,강서구,코리나(주)청룡주유소,서울 강서구 양천로 576,SK에너지,1768,1648,N,Y,N,N,N,N,37.5567325,126.862765
72,강서구,참솔에너지,서울 강서구 벌말로 281,S-OIL,1857,1698,Y,Y,N,N,N,N,37.5562519,126.7684491
73,강서구,염창동주유소,서울 강서구 양천로 720,SK에너지,2030,1858,N,Y,N,N,N,N,37.5491113,126.8757906
74,관악구,㈜CW창원,서울 관악구 과천대로 921,HD현대오일뱅크,1588,1482,Y,Y,N,Y,N,N,37.4728556,126.9821515
75,관악구,신관주유소,서울 관악구 신림로 290,알뜰주유소,1644,1494,Y,Y,N,N,N,N,37.480413,126.9306665
76,관악구,행운주유소,서울 관악구 남부순환로 1883,SK에너지,1664,1544,Y,Y,N,N,N,N,37.4791083,126.9591697
77,관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920,GS칼텍스,1665,1545,Y,Y,N,Y,N,Y,37.47717919999999,126.9623883
78,관악구,보라매주유소,서울 관악구  보라매로 26,SK에너지,1674,1541,Y,Y,N,N,N,N,37.4916874,126.9271603
79,관악구,유림주유소,서울 관악구 신림로 176,S-OIL,1698,1598,N,Y,N,Y,N,Y,37.4737247,126.93488
80,관악구,신봉천주유소,서울 관악구 남부순환로 1880,SK에너지,1732,1620,N,Y,N,N,Y,N,37.4787572,126.9583432
81,관악구,문성골주유소,서울 관악구 문성로 97,HD현대오일뱅크,1779,1649,N,Y,N,N,N,N,37.4777941,126.9143022
82,관악구,관악시몬주유소,서울특별시 관악구 남부순환로 1753,S-OIL,1795,1645,N,Y,N,N,N,N,37.4823585,126.945101
83,관악구,신림주유소,서울 관악구 남부순환로 1515,GS칼텍스,1898,1738,N,Y,N,N,N,N,37.4829496,126.9189553
84,광진구,(주)창원CW,서울 광진구 광나루로 460,HD현대오일뱅크,1589,1459,Y,Y,N,N,N,N,37.5451042,127.0804969
85,광진구,중원주유소,서울 광진구 동일로 398,HD현대오일뱅크,1589,1459,Y,Y,N,N,N,N,37.5658562,127.0777046
86,광진구,대원주유소,서울 광진구 용마산로 122,GS칼텍스,1589,1455,Y,Y,N,N,N,N,37.5645477,127.086996
87,광진구,(주)장수주유소,서울 광진구 동일로 266,SK에너지,1625,1498,Y,N,N,Y,N,Y,37.5549721,127.0715197
88,광진구,삼호주유소,서울 광진구 천호대로 809,S-OIL,1625,1489,Y,Y,N,N,N,Y,37.5456356,127.1037341
89,광진구,능동주유소,서울 광진구 천호대로 584,HD현대오일뱅크,1625,1489,Y,Y,N,Y,N,Y,37.5555551,127.082455
90,광진구,정해네트웍스(주)일진주유소,서울 광진구 동일로 413,S-OIL,1627,1497,Y,Y,N,N,N,Y,37.5674868,127.0780027
91,광진구,장호셀프주유소,서울 광진구 자양로 37,HD현대오일뱅크,1635,1499,Y,Y,N,Y,N,N,37.5312783,127.0858325
92,광진구,중곡현대주유소,서울 광진구 동일로 435,HD현대오일뱅크,1655,1519,Y,Y,N,N,N,N,37.5693323,127.0790178
93,광진구,자양주유소,서울 광진구 아차산로 298,SK에너지,1728,1608,N,Y,N,N,N,N,37.5381271,127.0758985
94,광진구,강평주유소,서울 광진구 아차산로 616,SK에너지,1898,1768,N,Y,N,N,N,N,37.5476119,127.1072051
95,구로구,고척주유소,서울 구로구 고척로 199,HD현대오일뱅크,1579,1479,Y,Y,N,N,N,N,37.5051273,126.8554406
96,구로구,항동주유소,서울 구로구 서해안로 2154,S-OIL,1585,1445,Y,Y,N,N,N,N,37.4834391,126.8278279
97,구로구,개봉동주유소,서울 구로구 경인로 290,GS칼텍스,1589,1479,Y,Y,N,N,N,Y,37.4976403,126.8523714
98,구로구,구로드림주유소,서울 구로구 경인로 41,S-OIL,1595,1485,Y,Y,N,N,N,N,37.4910524,126.8266547
99,구로구,신성주유소,서울 구로구 구로동로 187,알뜰주유소,1597,1483,Y,Y,N,N,N,N,37.4951588,126.8823886
100,구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76,GS칼텍스,1599,1485,Y,Y,N,Y,N,N,37.4963064,126.8884444
101,구로구,개봉주유소,서울 구로구 고척로 115,HD현대오일뱅크,1599,1485,Y,Y,N,N,N,N,37.50193720000001,126.8468175
102,구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650,GS칼텍스,1635,1480,N,N,N,N,N,Y,37.5078855,126.8870874
103,구로구,SK구로주유소,서울 구로구 구일로 94,SK에너지,1665,1535,N,Y,N,N,N,N,37.4936018,126.872189
104,구로구,구인주유소,서울 구로구 경인로 558,SK에너지,1665,1535,N,Y,N,Y,Y,N,37.5025176,126.8797515
105,구로구,구로셀프주유소,서울 구로구 시흥대로 531,HD현대오일뱅크,1679,1577,Y,Y,N,Y,N,Y,37.4810027,126.8992662
106,구로구,서서울고속주유소,서울 구로구 경인로 150,SK에너지,1695,1555,Y,Y,N,N,N,N,37.4933178,126.8384329
107,구로구,대원셀프주유소,서울 구로구 개봉로 7,HD현대오일뱅크,1698,1578,Y,Y,N,N,N,N,37.4861643,126.8561585
108,구로구,신구로주유소,서울 구로구 가마산로 293,HD현대오일뱅크,1948,1748,N,Y,N,N,N,N,37.4975223,126.8924841
109,구로구,동아주유소,서울 구로구 도림로 91,S-OIL,1998,1798,N,N,N,N,Y,N,37.4908509,126.8931878
110,금천구,금천지점,서울 금천구 독산로 147,HD현대오일뱅크,1589,1478,Y,Y,N,N,N,N,37.460506,126.9045162
111,금천구,화동주유소,서울 금천구 시흥대로 484,SK에너지,1597,1494,Y,Y,N,N,N,N,37.4767974,126.8991596
112,금천구,구광주유소,서울 금천구 서부샛길 674,S-OIL,1605,1495,N,Y,N,N,N,N,37.4820373,126.8751711
113,금천구,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81,GS칼텍스,1655,1525,Y,Y,N,N,Y,Y,37.4412805,126.9029246
114,금천구,백산주유소,서울특별시 금천구  시흥대로 174,S-OIL,1695,1565,Y,Y,N,Y,N,N,37.4496856,126.9029496
115,금천구,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,GS칼텍스,1705,1595,Y,Y,N,N,N,N,37.4444739,126.9042657
116,금천구,박미주유소,서울 금천구 시흥대로 39-7,SK에너지,1729,1592,Y,Y,N,N,N,N,37.4371925,126.9024329
117,금천구,이가주유소,서울 금천구 시흥대로 441,SK에너지,1735,1602,N,Y,N,Y,N,N,37.4730289,126.8979341
118,노원구,화랑대주유소,서울 노원구 화랑로 483,HD현대오일뱅크,1635,1495,Y,Y,N,N,N,Y,37.61957719999999,127.0806305
119,노원구,(주)정건에너지직영,서울 노원구 노원로17길 29,HD현대오일뱅크,1635,1495,Y,Y,N,N,N,N,37.642188,127.0703943
120,노원구,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466,GS칼텍스,1635,1495,Y,Y,N,Y,N,N,37.6185535,127.0790885
121,노원구,불암,서울 노원구 한글비석로 268,S-OIL,1641,1535,Y,Y,N,N,N,N,37.6513513,127.0772401
122,노원구,태릉솔밭주유소,서울 노원구 노원로 49,S-OIL,1645,1515,Y,Y,N,N,N,Y,37.6259652,127.0855897
123,노원구,한신주유소,서울 노원구 동일로 1089,SK에너지,1645,1555,Y,Y,N,N,N,N,37.626983,127.0719417
124,노원구,월계주유소,서울 노원구 월계로 252,GS칼텍스,1669,1529,Y,Y,N,N,N,N,37.6247784,127.0507659
125,노원구,삼육주유소,서울 노원구 화랑로 822,SK에너지,1695,1565,Y,Y,N,N,N,N,37.6386379,127.1090597
126,노원구,성북역주유소,서울특별시 노원구  광운로 95,GS칼텍스,1728,1598,N,Y,N,N,N,N,37.625771,127.0599365
127,노원구,신성주유소,서울 노원구 월계로 328,S-OIL,1728,1598,Y,Y,N,N,N,Y,37.6287786,127.0573351
128,노원구,상계주유소,서울 노원구 노해로 527,SK에너지,1729,1599,N,Y,N,N,N,N,37.6559391,127.0664063
129,노원구,상계동주유소,서울 노원구 노원로26길 191,HD현대오일뱅크,1750,1630,N,N,N,Y,N,N,37.6583938,127.0711375
130,도봉구,주식회사,서울 도봉구 도봉로 941,HD현대오일뱅크,1559,1439,Y,Y,N,N,N,N,37.6884305,127.0453374
131,도봉구,요한주유소,서울 도봉구 마들로 776,HD현대오일뱅크,1559,1439,Y,Y,N,N,N,N,37.678983,127.0497224
132,도봉구,햇살주유소,서울 도봉구 방학로 142,HD현대오일뱅크,1559,1439,Y,Y,N,N,N,N,37.6630015,127.0363325
133,도봉구,대안주유소,서울 도봉구 마들로 574,S-OIL,1585,1445,Y,Y,N,Y,N,N,37.6615155,127.0475247
134,도봉구,쌍문주유소,서울 도봉구 도봉로 547,S-OIL,1589,1459,Y,Y,N,Y,N,Y,37.65401629999999,127.0375558
135,도봉구,쌍문으뜸주유소,서울 도봉구 노해로 161,HD현대오일뱅크,1595,1485,Y,Y,N,N,N,N,37.649024,127.02688
136,도봉구,방학동주유소,서울 도봉구 방학로 186,GS칼텍스,1599,1469,Y,Y,N,N,N,N,37.6624108,127.0314758
137,도봉구,도봉,서울 도봉구 도봉로 706,S-OIL,1599,1469,Y,Y,N,Y,N,N,37.6674575,127.0435896
138,도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437,SK에너지,1619,1489,Y,Y,N,N,N,Y,37.6450551,127.0321144
139,도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267,GS칼텍스,1635,1495,Y,Y,N,N,N,Y,37.6413354,127.040236
140,도봉구,오복주유소,서울 도봉구 방학로 43,S-OIL,1765,1595,Y,Y,N,N,N,N,37.662341,127.0474542
141,도봉구,영신주유소,서울 도봉구 방학로 151,HD현대오일뱅크,1777,1647,N,Y,N,N,N,N,37.6623796,127.0354481
142,동대문구,배봉로지점,서울 동대문구 서울시립대로 108,HD현대오일뱅크,1599,1465,Y,Y,N,N,N,N,37.5800151,127.0510496
143,동대문구,재정주유소,서울 동대문구 전농로 121,HD현대오일뱅크,1599,1465,Y,Y,N,N,N,N,37.5757038,127.0574394
144,동대문구,재정제2주유소,서울 동대문구 사가정로 90,HD현대오일뱅크,1599,1465,Y,Y,N,N,N,N,37.5758698,127.0556493
145,동대문구,풍한주유소,서울 동대문구 안암로 168,SK에너지,1605,1475,N,Y,N,N,N,Y,37.5892531,127.0360122
146,동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405,GS칼텍스,1645,1495,Y,Y,N,Y,N,Y,37.5756916,127.0377503
147,동대문구,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100,SK에너지,1675,1555,Y,Y,N,N,N,N,37.5700455,127.064905
148,동대문구,스피드주유소,서울 동대문구 천호대로 453,HD현대오일뱅크,1689,1569,N,Y,N,N,N,Y,37.5611749,127.0694183
149,동대문구,홍능주유소,서울 동대문구 홍릉로 87,S-OIL,1695,1575,N,Y,N,N,N,N,37.587938,127.0426612
150,동대문구,삼영주유소,서울 동대문구 답십리로 258,SK에너지,1695,1575,N,Y,N,N,N,N,37.5723064,127.0688224
151,동대문구,삼원셀프주유소,서울 동대문구 망우로 90,SK에너지,1698,1588,Y,Y,N,N,N,N,37.5901827,127.0632663
152,동작구,새서울글로벌,서울 동작구 시흥대로 616,HD현대오일뱅크,1599,1488,Y,Y,N,N,N,Y,37.48712039999999,126.9056444
153,동작구,창원이엔지주유소,서울 동작구 사당로 59,HD현대오일뱅크,1649,1539,Y,Y,N,N,N,N,37.4948674,126.9613387
154,동작구,사당셀프주유소,서울 동작구 동작대로 73,HD현대오일뱅크,1669,1569,Y,Y,N,N,N,Y,37.4831082,126.9815397
155,동작구,남성주유소,서울 동작구 동작대로 135,GS칼텍스,1685,1579,Y,N,N,N,N,Y,37.4886815,126.9819661
156,동작구,흑석동셀프주유소,서울 동작구 현충로 101,HD현대오일뱅크,1699,1609,Y,Y,N,N,N,Y,37.5080132,126.9652693
157,동작구,매일주유소,서울 동작구 상도로 139,S-OIL,1699,1629,Y,Y,N,N,N,N,37.5027348,126.9350838
158,동작구,동작주유소,서울 동작구 상도로 403,HD현대오일뱅크,1709,1599,N,Y,N,N,N,N,37.4934739,126.9565221
159,마포구,성산대교셀프주유소,서울 마포구 성산로 144,HD현대오일뱅크,1629,1549,Y,Y,N,Y,N,N,37.5642985,126.9093474
160,마포구,청원주유소,서울 마포구 월드컵북로 113,HD현대오일뱅크,1629,1549,Y,Y,N,N,N,N,37.5632236,126.9132508
161,마포구,망원동주유소,서울 마포구 월드컵로 119,SK에너지,1738,1628,N,Y,N,N,N,N,37.558782,126.9072526
162,마포구,마포주유소,서울 마포구 마포대로 186,S-OIL,1759,1639,Y,Y,N,N,N,N,37.5506305,126.9556511
163,마포구,염리동주유소,서울 마포구 백범로 126,S-OIL,1759,1639,Y,Y,N,N,N,N,37.5462863,126.9448137
164,마포구,에스에스오토셀프,서울 마포구 서강로 76,HD현대오일뱅크,1769,1659,Y,Y,N,N,N,Y,37.5498337,126.9325724
165,마포구,대흥주유소,서울 마포구 대흥로 61,SK에너지,1769,1659,N,Y,N,N,N,Y,37.5459548,126.9398991
166,마포구,양지주유소,서울 마포구 마포대로 69,SK에너지,1825,1725,N,N,N,N,Y,Y,37.5420713,126.9486522
167,마포구,안국주유소,서울 마포구 양화로 33,SK에너지,1829,1729,N,N,N,N,N,Y,37.5493064,126.9126217
168,서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,HD현대오일뱅크,1619,1519,Y,N,N,N,Y,N,37.5732673,126.9224318
169,서대문구,연세주유소,서울 서대문구 연희로 184,HD현대오일뱅크,1624,1569,Y,Y,N,N,N,N,37.5734611,126.935919
170,서대문구,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,1624,1519,Y,Y,N,N,N,N,37.5835495,126.9501318
171,서대문구,두꺼비,서울 서대문구 성산로 312,S-OIL,1629,1539,Y,Y,N,Y,N,N,37.5660451,126.9249055
172,서대문구,신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,1629,1519,Y,Y,N,Y,N,N,37.5822656,126.9266001
173,서대문구,동교지점,서울 서대문구 연희로 12,SK에너지,1678,1578,Y,N,N,N,Y,N,37.5598219,126.9268491
